year,round_no,circuit,race,Type,filename
2025,1,Melbourne,Australian Grand Prix,Race,driver_lines/driver_lines_2025_R1.csv
2025,2,Shanghai,Chinese Grand Prix,Race,driver_lines/driver_lines_2025_R2.csv
2025,2,Shanghai,Chinese Grand Prix,Sprint,driver_lines/driver_lines_2025_S2.csv
2025,3,Suzuka,Japanese Grand Prix,Race,driver_lines/driver_lines_2025_R3.csv
2025,4,Sakhir,Bahrain Grand Prix,Race,driver_lines/driver_lines_2025_R4.csv
2025,5,Jeddah,Saudi Arabian Grand Prix,Race,driver_lines/driver_lines_2025_R5.csv
2025,6,Miami,Miami Grand Prix,Race,driver_lines/driver_lines_2025_R6.csv
2025,6,Miami,Miami Grand Prix,Sprint,driver_lines/driver_lines_2025_S6.csv
2025,7,Imola,Emilia Romagna Grand Prix,Race,driver_lines/driver_lines_2025_R7.csv
2025,8,Monte Carlo,Monaco Grand Prix,Race,driver_lines/driver_lines_2025_R8.csv
2025,9,Catalunya,Spanish Grand Prix,Race,driver_lines/driver_lines_2025_R9.csv
2025,10,Montreal,Canadian Grand Prix,Race,driver_lines/driver_lines_2025_R10.csv
2025,11,Spielberg,Austrian Grand Prix,Race,driver_lines/driver_lines_2025_R11.csv
2025,12,Silverstone,British Grand Prix,Race,driver_lines/driver_lines_2025_R12.csv
2025,13,Spa-Francorchamps,Belgian Grand Prix,Race,driver_lines/driver_lines_2025_R13.csv
2025,13,Spa-Francorchamps,Belgian Grand Prix,Sprint,driver_lines/driver_lines_2025_S13.csv
2025,14,Hungaroring,Hungarian Grand Prix,Race,driver_lines/driver_lines_2025_R14.csv
2025,15,Zandvoort,Dutch Grand Prix,Race,driver_lines/driver_lines_2025_R15.csv
2025,16,Monza,Italian Grand Prix,Race,driver_lines/driver_lines_2025_R16.csv
2025,17,Baku,Azerbaijan Grand Prix,Race,driver_lines/driver_lines_2025_R17.csv
2025,18,Singapore,Singapore Grand Prix,Race,driver_lines/driver_lines_2025_R18.csv
2025,19,Austin,United States Grand Prix,Race,driver_lines/driver_lines_2025_R19.csv
2025,19,Austin,United States Grand Prix,Sprint,driver_lines/driver_lines_2025_S19.csv
2025,20,Mexico City,Mexico City Grand Prix,Race,driver_lines/driver_lines_2025_R20.csv
2024,1,Sakhir,Bahrain Grand Prix,Race,driver_lines/driver_lines_2024_R1.csv
2024,2,Jeddah,Saudi Arabian Grand Prix,Race,driver_lines/driver_lines_2024_R2.csv
2024,3,Melbourne,Australian Grand Prix,Race,driver_lines/driver_lines_2024_R3.csv
2024,4,Suzuka,Japanese Grand Prix,Race,driver_lines/driver_lines_2024_R4.csv
2024,5,Shanghai,Chinese Grand Prix,Race,driver_lines/driver_lines_2024_R5.csv
2024,5,Shanghai,Chinese Grand Prix,Sprint,driver_lines/driver_lines_2024_S5.csv
2024,6,Miami,Miami Grand Prix,Race,driver_lines/driver_lines_2024_R6.csv
2024,6,Miami,Miami Grand Prix,Sprint,driver_lines/driver_lines_2024_S6.csv
2024,7,Imola,Emilia Romagna Grand Prix,Race,driver_lines/driver_lines_2024_R7.csv
2024,8,Monte Carlo,Monaco Grand Prix,Race,driver_lines/driver_lines_2024_R8.csv
2024,9,Montreal,Canadian Grand Prix,Race,driver_lines/driver_lines_2024_R9.csv
2024,10,Catalunya,Spanish Grand Prix,Race,driver_lines/driver_lines_2024_R10.csv
2024,11,Spielberg,Austrian Grand Prix,Race,driver_lines/driver_lines_2024_R11.csv
2024,11,Spielberg,Austrian Grand Prix,Sprint,driver_lines/driver_lines_2024_S11.csv
2024,12,Silverstone,British Grand Prix,Race,driver_lines/driver_lines_2024_R12.csv
2024,13,Hungaroring,Hungarian Grand Prix,Race,driver_lines/driver_lines_2024_R13.csv
2024,14,Spa-Francorchamps,Belgian Grand Prix,Race,driver_lines/driver_lines_2024_R14.csv
2024,15,Zandvoort,Dutch Grand Prix,Race,driver_lines/driver_lines_2024_R15.csv
2024,16,Monza,Italian Grand Prix,Race,driver_lines/driver_lines_2024_R16.csv
2024,17,Baku,Azerbaijan Grand Prix,Race,driver_lines/driver_lines_2024_R17.csv
2024,18,Singapore,Singapore Grand Prix,Race,driver_lines/driver_lines_2024_R18.csv
2024,19,Austin,United States Grand Prix,Race,driver_lines/driver_lines_2024_R19.csv
2024,19,Austin,United States Grand Prix,Sprint,driver_lines/driver_lines_2024_S19.csv
2024,20,Mexico City,Mexico City Grand Prix,Race,driver_lines/driver_lines_2024_R20.csv
2024,21,Interlagos,São Paulo Grand Prix,Race,driver_lines/driver_lines_2024_R21.csv
2024,21,Interlagos,São Paulo Grand Prix,Sprint,driver_lines/driver_lines_2024_S21.csv
2024,22,Las Vegas,Las Vegas Grand Prix,Race,driver_lines/driver_lines_2024_R22.csv
2024,23,Lusail,Qatar Grand Prix,Race,driver_lines/driver_lines_2024_R23.csv
2024,23,Lusail,Qatar Grand Prix,Sprint,driver_lines/driver_lines_2024_S23.csv
2024,24,Yas Marina Circuit,Abu Dhabi Grand Prix,Race,driver_lines/driver_lines_2024_R24.csv
2023,1,Sakhir,Bahrain Grand Prix,Race,driver_lines/driver_lines_2023_R1.csv
2023,2,Jeddah,Saudi Arabian Grand Prix,Race,driver_lines/driver_lines_2023_R2.csv
2023,3,Melbourne,Australian Grand Prix,Race,driver_lines/driver_lines_2023_R3.csv
2023,4,Baku,Azerbaijan Grand Prix,Race,driver_lines/driver_lines_2023_R4.csv
2023,4,Baku,Azerbaijan Grand Prix,Sprint,driver_lines/driver_lines_2023_S4.csv
2023,5,Miami,Miami Grand Prix,Race,driver_lines/driver_lines_2023_R5.csv
2023,6,Monte Carlo,Monaco Grand Prix,Race,driver_lines/driver_lines_2023_R6.csv
2023,7,Catalunya,Spanish Grand Prix,Race,driver_lines/driver_lines_2023_R7.csv
2023,8,Montreal,Canadian Grand Prix,Race,driver_lines/driver_lines_2023_R8.csv
2023,9,Spielberg,Austrian Grand Prix,Race,driver_lines/driver_lines_2023_R9.csv
2023,9,Spielberg,Austrian Grand Prix,Sprint,driver_lines/driver_lines_2023_S9.csv
2023,10,Silverstone,British Grand Prix,Race,driver_lines/driver_lines_2023_R10.csv
2023,11,Hungaroring,Hungarian Grand Prix,Race,driver_lines/driver_lines_2023_R11.csv
2023,12,Spa-Francorchamps,Belgian Grand Prix,Race,driver_lines/driver_lines_2023_R12.csv
2023,12,Spa-Francorchamps,Belgian Grand Prix,Sprint,driver_lines/driver_lines_2023_S12.csv
2023,13,Zandvoort,Dutch Grand Prix,Race,driver_lines/driver_lines_2023_R13.csv
2023,14,Monza,Italian Grand Prix,Race,driver_lines/driver_lines_2023_R14.csv
2023,15,Singapore,Singapore Grand Prix,Race,driver_lines/driver_lines_2023_R15.csv
2023,16,Suzuka,Japanese Grand Prix,Race,driver_lines/driver_lines_2023_R16.csv
2023,17,Lusail,Qatar Grand Prix,Race,driver_lines/driver_lines_2023_R17.csv
2023,17,Lusail,Qatar Grand Prix,Sprint,driver_lines/driver_lines_2023_S17.csv
2023,18,Austin,United States Grand Prix,Race,driver_lines/driver_lines_2023_R18.csv
2023,18,Austin,United States Grand Prix,Sprint,driver_lines/driver_lines_2023_S18.csv
