Time,Driver,Position,GapToLeader,IntervalToPositionAhead
11.521,81,1,LAP 1,LAP 1
49.549,81,1,LAP 0,LAP 0
49.553,81,1,LAP 1,LAP 1
3528.655,81,2,LAP 1,LAP 1
3528.967,81,3,LAP 1,LAP 1
3529.264,81,4,LAP 1,LAP 1
3529.264,81,5,LAP 1,LAP 1
3529.295,81,6,LAP 1,LAP 1
3529.342,81,7,LAP 1,LAP 1
3529.358,81,8,LAP 1,LAP 1
3529.592,81,9,LAP 1,LAP 1
3529.655,81,10,LAP 1,LAP 1
3529.701,81,11,LAP 1,LAP 1
3529.936,81,12,LAP 1,LAP 1
3529.967,81,13,LAP 1,LAP 1
3530.108,81,14,LAP 1,LAP 1
3530.201,81,15,LAP 1,LAP 1
3530.311,81,16,LAP 1,LAP 1
3530.436,81,1,LAP 1,LAP 1
3609.358,81,1,LAP 2,LAP 2
3696.526,81,1,LAP 3,LAP 3
3783.443,81,1,LAP 4,LAP 4
3870.659,81,1,LAP 5,LAP 5
3957.54,81,1,LAP 6,LAP 6
4044.309,81,1,LAP 7,LAP 7
4142.717,81,1,LAP 8,LAP 8
4290.05,81,1,LAP 9,LAP 9
4432.737,81,1,LAP 10,LAP 10
4573.677,81,1,LAP 11,LAP 11
4658.753,81,1,LAP 12,LAP 12
4743.998,81,1,LAP 13,LAP 13
4829.34,81,1,LAP 14,LAP 14
4915.01,81,1,LAP 15,LAP 15
5000.656,81,1,LAP 16,LAP 16
5086.2,81,1,LAP 17,LAP 17
5171.801,81,1,LAP 18,LAP 18
5257.52,81,1,LAP 19,LAP 19
5343.208,81,1,LAP 20,LAP 20
5429.0,81,1,LAP 21,LAP 21
5514.959,81,1,LAP 22,LAP 22
5600.803,81,1,LAP 23,LAP 23
5686.718,81,1,LAP 24,LAP 24
5776.472,81,2,LAP 24,LAP 24
5786.254,81,3,LAP 24,LAP 24
5796.941,81,4,LAP 24,LAP 24
5798.676,81,5,LAP 24,LAP 24
5804.348,81,5,+21.919,+5.582
5806.957,81,5,+22.737,+6.434
5812.676,81,5,+23.173,+6.725
5817.801,81,5,+23.290,+6.702
5821.316,81,5,+23.276,+6.708
5824.52,81,5,+23.299,+6.732
5829.301,81,5,+23.413,+6.709
5831.223,81,5,+23.388,+6.730
5838.035,81,5,+23.274,+6.458
5840.895,81,5,+23.302,+6.462
5845.629,81,5,+23.070,+6.211
5848.176,81,5,+23.002,+6.160
5851.723,81,5,+23.081,+6.131
5857.488,81,5,+22.926,+5.923
5860.082,81,5,+22.907,+5.917
5863.973,81,5,+23.026,+5.964
5866.723,81,5,+19.227,+5.995
5870.442,81,5,+19.307,+5.978
5872.895,81,5,+19.307,+5.890
5877.348,81,5,+19.281,+5.832
5880.848,81,5,+19.212,+5.642
5884.379,81,5,+19.146,+5.570
5885.098,81,5,+19.136,+5.566
5888.098,81,5,+19.101,+5.566
5890.973,81,5,+19.067,+5.566
5893.082,81,4,+19.067,+5.566
5893.082,81,4,+19.029,+5.629
5897.911,81,4,+18.899,+5.302
5902.832,81,4,+18.850,+5.164
5906.317,81,4,+18.817,+5.125
5909.551,81,4,+18.839,+5.171
5914.239,81,4,+18.919,+5.093
5916.192,81,4,+18.957,+5.110
5922.989,81,4,+18.814,+4.816
5925.879,81,4,+18.796,+4.816
5930.583,81,4,+18.625,+4.548
5933.129,81,4,+18.570,+4.507
5936.692,81,4,+18.619,+4.533
5942.395,81,4,+18.486,+4.262
5944.989,81,4,+18.454,+4.251
5948.864,81,4,+18.565,+4.319
5951.614,81,4,+18.720,+4.369
5955.411,81,4,+18.798,+4.389
5957.77,81,4,+18.798,+4.270
5962.239,81,4,+18.731,+4.141
5965.755,81,4,+18.689,+3.967
5969.333,81,4,+18.659,+3.937
5970.051,81,4,+18.650,+3.937
5973.036,81,4,+18.613,+3.949
5975.88,81,4,+18.565,+3.969
5977.676,81,4,+18.517,+3.990
5982.802,81,4,+18.449,+3.741
5987.802,81,4,+18.413,+3.568
5991.27,81,4,+18.362,+3.534
5994.464,81,4,+18.339,+3.545
5999.114,81,4,+18.250,+3.367
6001.036,81,4,+18.263,+3.355
6007.926,81,4,+18.222,+3.111
6010.723,81,4,+18.198,+3.098
6015.915,81,4,+18.033,+2.892
6018.384,81,4,+17.983,+2.863
6021.619,81,4,+18.042,+2.922
6027.447,81,4,+17.993,+2.750
6030.041,81,4,+17.967,+2.744
6033.901,81,4,+18.034,+2.787
6036.573,81,4,+18.147,+2.826
6040.386,81,4,+18.221,+2.812
6042.73,81,4,+18.161,+2.717
6047.183,81,4,+18.038,+2.611
6050.698,81,4,+18.051,+2.516
6054.308,81,4,+18.006,+2.467
6054.995,81,4,+17.995,+2.463
6057.964,81,4,+17.947,+2.462
6060.839,81,4,+17.896,+2.473
6062.62,81,4,+17.854,+2.488
6067.855,81,4,+17.907,+2.358
6072.933,81,4,+17.956,+2.289
6076.402,81,4,+17.899,+2.263
6079.605,81,4,+17.872,+2.276
6084.324,81,4,+17.866,+2.180
6086.261,81,4,+17.860,+2.155
6093.136,81,4,+17.865,+1.915
6095.949,81,4,+17.836,+1.890
6100.781,81,4,+17.729,+1.704
6103.388,81,4,+17.685,+1.676
6107.004,81,4,+17.758,+1.715
6112.833,81,4,+17.743,+1.539
6115.396,81,4,+17.705,+1.517
6119.24,81,4,+17.749,+1.527
6121.88,81,4,+17.828,+1.520
6125.661,81,4,+17.861,+1.507
6128.021,81,4,+17.861,+1.430
6132.443,81,4,+17.809,+1.340
6136.004,81,4,+17.836,+1.247
6139.582,81,4,+17.798,+1.184
6140.304,81,4,+17.787,+1.178
6143.204,81,4,+17.735,+1.162
6146.145,81,4,+17.674,+1.154
6147.844,81,4,+17.597,+1.154
6153.18,81,4,+17.684,+1.066
6158.204,81,4,+17.715,+1.004
6161.671,81,4,+17.669,+0.975
6164.845,81,4,+17.603,+0.959
6169.595,81,4,+17.683,+0.957
6171.517,81,4,+17.685,+0.948
6178.486,81,4,+17.719,+0.795
6181.287,81,4,+17.693,+0.776
6186.271,81,4,+17.712,+0.740
6188.865,81,4,+17.669,+0.704
6192.412,81,4,+17.789,+0.740
6198.396,81,4,+17.889,+0.745
6201.006,81,4,+17.853,+0.730
6204.756,81,4,+17.834,+0.688
6207.381,81,4,+17.863,+0.640
6211.084,81,4,+17.840,+0.585
6213.459,81,4,+17.812,+0.475
6217.975,81,4,+17.857,+0.467
6221.631,81,4,+18.028,+0.526
6225.275,81,4,+18.019,+0.519
6225.935,81,4,+18.002,+0.509
6228.856,81,4,+17.857,+0.409
6231.552,81,4,+17.642,+0.251
6233.181,81,4,+17.460,+0.133
6238.711,81,4,+17.771,+0.133
6238.742,81,3,+17.771,+0.133
6243.82,81,3,+17.901,+1.935
6247.383,81,3,+17.874,+1.890
6250.523,81,3,+17.862,+1.858
6255.32,81,3,+17.963,+1.781
6257.32,81,3,+18.028,+1.805
6264.289,81,3,+18.101,+1.860
6267.117,81,3,+18.102,+1.867
6271.945,81,3,+18.032,+1.760
6274.57,81,3,+17.995,+1.736
6278.18,81,3,+18.168,+1.777
6284.07,81,3,+18.183,+1.817
6286.648,81,3,+18.158,+1.806
6290.492,81,3,+18.200,+1.774
6293.086,81,3,+18.241,+1.752
6296.805,81,3,+18.241,+1.667
6299.242,81,3,+18.214,+1.651
6303.602,81,3,+18.146,+1.553
6307.211,81,3,+18.238,+1.558
6310.789,81,3,+18.213,+1.532
6311.539,81,3,+18.203,+1.523
6314.508,81,3,+18.155,+1.481
6317.367,81,3,+18.098,+1.431
6319.133,81,3,+18.042,+1.400
6324.367,81,3,+18.060,+1.319
6329.367,81,3,+18.054,+1.284
6332.883,81,3,+18.025,+1.266
6336.07,81,3,+18.000,+1.212
6340.805,81,3,+18.114,+1.159
6342.758,81,3,+18.125,+1.138
6349.727,81,3,+18.173,+1.232
6352.555,81,3,+18.169,+1.203
6357.414,81,3,+18.130,+1.039
6360.008,81,3,+18.082,+1.020
6363.539,81,3,+18.188,+0.983
6369.43,81,3,+18.208,+1.038
6372.039,81,3,+18.163,+1.021
6375.836,81,3,+18.189,+1.042
6378.477,81,3,+18.232,+0.995
6382.18,81,3,+18.247,+0.889
6384.617,81,3,+18.248,+0.890
6389.055,81,3,+18.241,+0.850
6392.743,81,3,+18.357,+0.899
6396.321,81,3,+18.346,+0.901
6397.039,81,3,+18.335,+0.895
6399.961,81,3,+18.220,+0.800
6402.711,81,3,+18.039,+0.627
6404.399,81,3,+17.890,+0.506
6409.774,81,3,+18.111,+0.616
6414.977,81,3,+18.290,+0.709
6418.493,81,3,+18.295,+0.722
6421.68,81,3,+18.261,+0.644
6426.571,81,3,+18.538,+0.795
6428.586,81,3,+18.611,+0.793
6435.571,81,3,+18.733,+0.855
6438.415,81,3,+18.727,+0.809
6443.336,81,3,+18.782,+0.788
6445.977,81,3,+18.760,+0.773
6449.555,81,3,+18.913,+0.797
6455.446,81,3,+18.983,+0.900
6458.055,81,3,+18.958,+0.885
6461.868,81,3,+18.981,+0.874
6464.493,81,3,+19.053,+0.861
6468.212,81,3,+19.074,+0.793
6470.68,81,3,+19.136,+0.900
6475.133,81,3,+19.135,+0.892
6478.758,81,3,+19.183,+0.853
6483.117,81,2,+19.183,+0.853
6483.136,81,2,+15.028,+15.028
6488.759,81,1,LAP 33,LAP 33
6567.293,81,1,LAP 34,LAP 34
6651.783,81,1,LAP 35,LAP 35
6736.108,81,1,LAP 36,LAP 36
6820.647,81,1,LAP 37,LAP 37
6905.204,81,1,LAP 38,LAP 38
6989.776,81,1,LAP 39,LAP 39
7074.249,81,1,LAP 40,LAP 40
7159.01,81,1,LAP 41,LAP 41
7243.764,81,1,LAP 42,LAP 42
7332.825,81,1,LAP 43,LAP 43
7342.278,81,2,LAP 43,LAP 43
7342.856,81,3,LAP 43,LAP 43
7358.887,81,3,+16.564,+15.981
7361.544,81,3,+17.386,+16.928
7367.221,81,3,+17.856,+17.325
7372.462,81,3,+18.048,+17.417
7375.969,81,3,+18.105,+17.420
7379.178,81,3,+18.121,+17.428
7383.909,81,3,+18.232,+17.520
